Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C5, C7, C9",0402,8,100nF,C1525
"C10, C8",0402,2,1uF,C14445
C12,0805,1,2.2uF,
C6,0402,1,10uF,C315248
D1,SOT-143,1,PRTR5V0U2X,C2827688
"D_SPACE1, D_SPACE10, D_SPACE11, D_SPACE12, D_SPACE13, D_SPACE14, D_SPACE15, D_SPACE16, D_SPACE17, D_SPACE18, D_SPACE19, D_SPACE2, D_SPACE20, D_SPACE21, D_SPACE22, D_SPACE23, D_SPACE24, D_SPACE25, D_SPACE26, D_SPACE27, D_SPACE28, D_SPACE29, D_SPACE3, D_SPACE30, D_SPACE31, D_SPACE32, D_SPACE33, D_SPACE34, D_SPACE35, D_SPACE36, D_SPACE37, D_SPACE38, D_SPACE39, D_SPACE4, D_SPACE40, D_SPACE42, D_SPACE5, D_SPACE6, D_SPACE7, D_SPACE8, D_SPACE9",D_SOD-123F,41,D,C81598
F2,1206,1,ASMD1206-150,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"LED1, LED10, LED11, LED12, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812_2020,12,WS2812_2020,C965555
R1,0402,1,10k,C25744
"R2, R3",0402,2,5.1k,C25905
"R4, R5",0402,2,4.7k,C25900
SW4,SW_SPST_SKQG_WithStem,1,SKQGABE010,C115351
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F072CBUx,C92504
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,TSOT-23-5,1,74AHCT1G125,C12494
"UR1, UR2",0805,2,4.7k,
UR3,0805,1,100k,
