Designator,Mid X,Mid Y,Rotation,Layer
C1,10.005,44.45,0.0,bottom
C10,28.575,56.0425,270.0,bottom
C11,44.45,53.975,180.0,bottom
C2,3.175,44.76375,90.0,bottom
C3,5.269395,33.75763,270.0,bottom
C4,13.49375,36.5125,180.0,bottom
C5,9.072493,34.989999,0.0,bottom
C6,12.7,43.65625,180.0,bottom
C7,6.285671,33.76394,270.0,bottom
C8,34.925,56.67,270.0,bottom
C9,23.835301,53.183642,90.0,bottom
D1,41.275,57.15,180.0,bottom
D_SPACE1,20.6375,61.9125,90.0,bottom
D_SPACE10,184.15,62.70625,90.0,bottom
D_SPACE11,203.2,62.70625,90.0,bottom
D_SPACE12,23.01875,43.65625,90.0,bottom
D_SPACE13,36.513594,43.59375,90.0,bottom
D_SPACE14,55.5625,43.59375,90.0,bottom
D_SPACE15,74.851096,43.59375,90.0,bottom
D_SPACE16,78.58125,43.59375,90.0,bottom
D_SPACE17,107.15625,43.65625,90.0,bottom
D_SPACE18,131.789925,43.59375,90.0,bottom
D_SPACE19,150.832113,43.59375,90.0,bottom
D_SPACE2,31.75,62.70625,90.0,bottom
D_SPACE20,169.8625,43.59375,90.0,bottom
D_SPACE21,184.15,43.59375,90.0,bottom
D_SPACE22,203.2,43.59375,90.0,bottom
D_SPACE23,7.14375,24.60625,90.0,bottom
D_SPACE24,50.797105,24.54375,90.0,bottom
D_SPACE25,69.847518,24.54375,90.0,bottom
D_SPACE26,88.897931,24.54375,90.0,bottom
D_SPACE27,102.39375,24.54375,90.0,bottom
D_SPACE28,107.95,24.60625,90.0,bottom
D_SPACE29,127.0,24.54375,90.0,bottom
D_SPACE3,50.8,62.70625,90.0,bottom
D_SPACE30,146.04917,24.54375,90.0,bottom
D_SPACE31,165.099583,24.54375,90.0,bottom
D_SPACE32,184.15,24.54375,90.0,bottom
D_SPACE33,203.2,24.60625,90.0,bottom
D_SPACE34,50.00625,8.73125,90.0,bottom
D_SPACE35,67.46875,8.73125,90.0,bottom
D_SPACE36,95.25,8.73125,90.0,bottom
D_SPACE38,136.525,8.73125,90.0,bottom
D_SPACE39,159.54375,8.73125,90.0,bottom
D_SPACE4,69.85,62.70625,90.0,bottom
D_SPACE40,178.59375,8.73125,90.0,bottom
D_SPACE5,88.9,62.70625,90.0,bottom
D_SPACE6,107.95,62.70625,90.0,bottom
D_SPACE7,127.0,62.70625,90.0,bottom
D_SPACE8,146.05,62.70625,90.0,bottom
D_SPACE9,165.1,62.70625,90.0,bottom
F2,44.45,57.15,90.0,bottom
J1,38.1,73.1125,0.0,bottom
L1,38.1,57.15,90.0,bottom
LED1,19.05,56.6,0.0,bottom
LED10,80.9625,20.6375,180.0,bottom
LED11,53.975,20.6375,180.0,bottom
LED12,19.05,24.60625,180.0,bottom
LED2,54.76875,56.35625,0.0,bottom
LED3,85.725,56.35625,0.0,bottom
LED4,123.825,56.35625,0.0,bottom
LED5,158.62875,56.35625,0.0,bottom
LED6,187.325,56.35625,0.0,bottom
LED7,187.325,24.60625,180.0,bottom
LED8,158.75,20.6375,180.0,bottom
LED9,129.38125,20.6375,180.0,bottom
R1,12.775,56.64,90.0,bottom
R2,28.065,73.025,0.0,bottom
R3,45.5275,73.025,180.0,bottom
R4,103.47125,36.023998,180.0,bottom
R5,108.74375,36.0025,0.0,bottom
SW4,7.21875,57.94375,0.0,bottom
U1,7.14375,39.6875,90.0,bottom
U2,31.75,57.15,180.0,bottom
U3,21.43125,51.59375,90.0,bottom
